"time","x","y","position","velocity","acceleration","heading","curvature","rotation"
0,1.80405,2.2585,0,0,1.5,0,0,180
0.02,1.80681,2.2585,0.00276043,0.03,1.5,-1.33716e-05,0,180
0.04,1.80957,2.2585,0.00552087,0.06,1.5,-2.67432e-05,0,180
0.06,1.81233,2.2585,0.0082813,0.09,1.5,-4.01148e-05,0,180
0.08,1.81509,2.2585,0.0110417,0.12,1.5,-5.34864e-05,0,180
0.1,1.81785,2.2585,0.0138022,0.15,1.5,-6.6858e-05,0,180
0.12,1.82061,2.2585,0.0165626,0.18,1.5,-8.02296e-05,0,180
0.14,1.82337,2.2585,0.019323,0.21,1.5,-9.36012e-05,0,180
0.16,1.82613,2.2585,0.0220835,0.24,1.5,-0.000106973,0,180
0.18,1.82889,2.2585,0.0248439,0.27,1.5,-0.000120344,0,180
0.2,1.83477,2.2585,0.0307218,0.3,1.5,-0.000160495,0,180
0.22,1.84143,2.2585,0.037386,0.33,1.5,-0.000207401,0,180
0.24,1.8481,2.2585,0.0440503,0.36,1.5,-0.000254307,0,180
0.26,1.85476,2.2585,0.0507146,0.39,1.5,-0.000301213,0,180
0.28,1.86342,2.2585,0.0593738,0.42,1.5,-0.00042402,0,180
0.3,1.8721,2.2585,0.0680588,0.45,1.5,-0.000547812,0,180
0.32,1.88089,2.2585,0.0768451,0.48,1.5,-0.000675771,0,180
0.34,1.89119,2.2585,0.0871472,0.51,1.5,-0.000866102,0,180
0.36,1.90149,2.2585,0.0974493,0.54,1.5,-0.00105643,0,180
0.38,1.91263,2.2585,0.108582,0.57,1.5,-0.00129569,0,180
0.4,1.92432,2.2585,0.120276,0.6,1.5,-0.00156796,0,180
0.42,1.93654,2.2585,0.132496,0.63,1.5,-0.00188615,0,180
0.44,1.94948,2.25849,0.14543,0.66,1.5,-0.00226649,0,180
0.46,1.96293,2.25849,0.158886,0.69,1.5,-0.00267888,0,180
0.48,1.977,2.25849,0.172951,0.72,1.5,-0.00312871,0,180
0.5,1.99175,2.25849,0.187702,0.75,1.5,-0.00367897,0,180
