"time","x","y","position","velocity","acceleration","heading","curvature","rotation"
0,10.1757,3.48792,0,0,1.5,-1.40334e-14,0,0
0.02,10.1785,3.48792,0.00276043,0.03,1.5,-0.0011292,0,0
0.04,10.1812,3.48792,0.00552087,0.06,1.5,-0.00225839,0,0
0.06,10.184,3.48792,0.0082813,0.09,1.5,-0.00338759,0,0
0.08,10.1867,3.48792,0.0110417,0.12,1.5,-0.00451678,0,0
0.1,10.1895,3.48792,0.0138022,0.15,1.5,-0.00564598,0,0
0.12,10.1923,3.48792,0.0165626,0.18,1.5,-0.00677518,0,0
0.14,10.195,3.48792,0.019323,0.21,1.5,-0.00790437,0,0
0.16,10.1978,3.48792,0.0220835,0.24,1.5,-0.00903357,0,0
0.18,10.2005,3.48792,0.0248439,0.27,1.5,-0.0101628,0,0
0.2,10.2064,3.48792,0.0307218,0.3,1.5,-0.0144095,0,0
0.22,10.2131,3.48791,0.037386,0.33,1.5,-0.0194426,0,0
0.24,10.2198,3.48791,0.0440503,0.36,1.5,-0.0244757,0,0
0.26,10.2264,3.48791,0.0507146,0.39,1.5,-0.0295089,0,0
0.28,10.2351,3.4879,0.0593738,0.42,1.5,-0.0397235,0,0
0.3,10.2438,3.4879,0.0680588,0.45,1.5,-0.0500053,0,0
0.32,10.2525,3.48789,0.0768451,0.48,1.5,-0.0608245,0,0
0.34,10.2628,3.48788,0.0871472,0.51,1.5,-0.0796873,0,0
0.36,10.2731,3.48786,0.0974493,0.54,1.5,-0.09855,0,0
0.38,10.2843,3.48784,0.108582,0.57,1.5,-0.121135,0,0
0.4,10.296,3.48781,0.120276,0.6,1.5,-0.146231,0,0
0.42,10.3082,3.48778,0.132496,0.63,1.5,-0.174871,0,0
0.44,10.3211,3.48774,0.14543,0.66,1.5,-0.208307,0,0
0.46,10.3346,3.48768,0.158886,0.69,1.5,-0.246545,0,0
0.48,10.3487,3.48761,0.172951,0.72,1.5,-0.290394,0,0
0.5,10.3634,3.48753,0.187702,0.75,1.5,-0.339381,0,0
0.52,10.3785,3.48744,0.202813,0.78,1.5,-0.391073,0,0
0.54,10.3946,3.48732,0.218877,0.81,1.5,-0.452844,0,0
0.56,10.411,3.48718,0.23533,0.84,1.5,-0.51951,0,0
0.58,10.428,3.48701,0.252341,0.87,1.5,-0.593249,0,0
0.6,10.4458,3.48682,0.27014,0.9,1.5,-0.675286,0,0
0.62,10.4641,3.48659,0.288427,0.93,1.5,-0.763737,0,0
0.64,10.4829,3.48633,0.307244,0.96,1.5,-0.859774,0,0
0.66,10.5024,3.48601,0.32676,0.99,1.5,-0.967433,0,0
0.68,10.5226,3.48565,0.346906,1.02,1.5,-1.08367,0,0
0.7,10.5433,3.48524,0.367609,1.05,1.5,-1.20825,0,0
0.72,10.5646,3.48477,0.388888,1.08,1.5,-1.34331,0,0
0.74,10.5864,3.48422,0.410755,1.11,1.5,-1.49041,0,0
0.76,10.6089,3.48361,0.433219,1.14,1.5,-1.6474,0,0
0.78,10.632,3.48292,0.456312,1.17,1.5,-1.81543,0,0
0.8,10.6557,3.48213,0.480031,1.2,1.5,-1.99716,0,0
0.82,10.68,3.48123,0.50434,1.23,1.5,-2.19155,0,0
0.84,10.7048,3.48024,0.529242,1.26,1.5,-2.39745,0,0
0.86,10.7303,3.47913,0.55474,1.29,1.5,-2.61502,0,0
0.88,10.7564,3.47789,0.580832,1.32,1.5,-2.84538,0,0
0.9,10.783,3.4765,0.60752,1.35,1.5,-3.08801,0,0
0.92,10.8103,3.47497,0.634802,1.38,1.5,-3.34112,0,0
0.94,10.8381,3.47329,0.66272,1.41,1.5,-3.60439,0,0
0.96,10.8666,3.47143,0.691239,1.44,1.5,-3.87588,0,0
0.98,10.8956,3.46939,0.720351,1.47,1.24467,-4.15312,0,0
1,10.9252,3.46716,0.75,1.49364,0.373858,-4.43214,0,0
1.02,10.9551,3.46477,0.779946,1.5,0,-4.70746,0,0
1.04,10.9849,3.46225,0.809946,1.5,0,-4.97321,0,0
1.06,11.0148,3.45959,0.839946,1.5,0,-5.22406,0,0
1.08,11.0447,3.45679,0.869946,1.5,0,-5.4545,0,0
1.1,11.0746,3.45389,0.899946,1.5,0,-5.66064,0,0
1.12,11.1044,3.45088,0.929946,1.5,0,-5.83702,0,0
1.14,11.1342,3.44779,0.959946,1.5,0,-5.98073,0,0
1.16,11.1641,3.44463,0.989946,1.5,0,-6.08881,0,0
1.18,11.1939,3.44143,1.01995,1.5,0,-6.15398,0,0
1.2,11.2237,3.43821,1.04995,1.5,0,-6.17803,0,0
1.22,11.2536,3.43498,1.07995,1.5,0,-6.16109,0,0
1.24,11.2834,3.43177,1.10995,1.5,0,-6.10364,0,0
1.26,11.3132,3.4286,1.13995,1.5,0,-6.00711,0,0
1.28,11.3431,3.4255,1.16995,1.5,0,-5.87238,0,0
1.3,11.3729,3.42247,1.19995,1.5,0,-5.70166,0,0
1.32,11.4028,3.41954,1.22995,1.5,0,-5.50143,0,0
1.34,11.4326,3.41673,1.25995,1.5,0,-5.27517,0,0
