"time","x","y","position","velocity","acceleration","heading","curvature","rotation"
0,1.84458,5.13049,0,0,3,0,0,180
0.02,1.84849,5.13048,0.00390384,0.06,3,-0.0261739,0,180
0.04,1.85239,5.13047,0.00780769,0.12,3,-0.0523478,0,180
0.06,1.8563,5.13046,0.0117115,0.18,3,-0.0785217,0,180
0.08,1.8602,5.13046,0.0156154,0.24,3,-0.104696,0,180
0.1,1.8641,5.13045,0.0195192,0.3,3,-0.13087,0,180
0.12,1.86801,5.13044,0.0234231,0.36,3,-0.157043,0,180
0.14,1.87464,5.13042,0.030052,0.42,3,-0.213398,0,180
0.16,1.88406,5.13038,0.0394767,0.48,3,-0.300717,0,180
0.18,1.89349,5.13035,0.0489014,0.54,3,-0.388036,0,180
0.2,1.90519,5.13022,0.0606082,0.6,3,-0.591605,0,180
0.22,1.91747,5.13007,0.0728907,0.66,3,-0.824496,0,180
0.24,1.93142,5.12982,0.0868439,0.72,3,-1.14066,0,180
0.26,1.94599,5.12952,0.101413,0.78,3,-1.48754,0,180
0.28,1.96249,5.12901,0.117925,0.84,3,-1.98325,0,180
0.3,1.97981,5.12832,0.135254,0.9,3,-2.56462,0,180
0.32,1.99818,5.12739,0.153646,0.96,3,-3.25553,0,180
0.34,2.01803,5.12623,0.173537,1.02,3,-4.06212,0,180
0.36,2.03901,5.12445,0.19459,1.08,3,-5.08077,0,180
0.38,2.06109,5.12223,0.216786,1.14,3,-6.24204,0,180
0.4,2.08431,5.11947,0.240166,1.2,3,-7.56348,0,180
0.42,2.10862,5.11589,0.264748,1.26,3,-9.09,0,180
0.44,2.13402,5.11145,0.290536,1.32,3,-10.8114,0,180
0.46,2.16045,5.106,0.317527,1.38,3,-12.7237,0,180
0.48,2.18781,5.09923,0.345712,1.44,3,-14.8287,0,180
0.5,2.21606,5.09125,0.375078,1.5,3,-17.0737,0,180
0.52,2.24509,5.08178,0.405612,1.56,3,-19.4207,0,180
0.54,2.27485,5.07044,0.437463,1.62,3,-21.7601,0,180
0.56,2.30528,5.05764,0.470486,1.68,3,-24.0204,0,180
0.58,2.33622,5.0432,0.504637,1.74,3,-26.0316,0,180
0.6,2.36779,5.02714,0.540057,1.8,3,-27.6227,0,180
0.62,2.40006,5.00986,0.576659,1.86,3,-28.7563,0,180
0.64,2.43309,4.99153,0.61444,1.92,3,-29.1537,0,180
0.66,2.4672,4.97259,0.653449,1.98,3,-28.8124,0,180
0.68,2.50257,4.95349,0.69365,2.04,3,-27.7151,0,180
0.7,2.5395,4.93488,0.735013,2.1,-0.0240081,-25.7714,0,180
0.72,2.57757,4.91746,0.776877,2.07803,-3,-23.213,0,180
0.74,2.61564,4.90233,0.817853,2.01803,-3,-20.2812,0,180
0.76,2.65325,4.88948,0.857608,1.95803,-3,-17.2555,0,180
0.78,2.69036,4.87908,0.896157,1.89803,-3,-14.3119,0,180
0.8,2.72676,4.87067,0.933521,1.83803,-3,-11.5706,0,180
0.82,2.76234,4.86423,0.969688,1.77803,-3,-9.12472,0,180
0.84,2.79692,4.85933,1.00461,1.71803,-3,-6.98826,0,180
0.86,2.83053,4.85579,1.03842,1.65803,-3,-5.18353,0,180
0.88,2.86297,4.85327,1.07096,1.59803,-3,-3.67923,0,180
0.9,2.89424,4.85164,1.10228,1.53803,-3,-2.48154,0,180
0.92,2.92438,4.85057,1.13243,1.47803,-3,-1.52286,0,180
0.94,2.95334,4.85,1.1614,1.41803,-3,-0.843872,0,180
0.96,2.98112,4.84969,1.18918,1.35803,-3,-0.35375,0,180
0.98,3.00769,4.8496,1.21575,1.29803,-3,-0.12941,0,180
1,3.03305,4.84957,1.24111,1.23803,-0.398266,-0.00969284,0,180
1.02,3.05773,4.84957,1.26579,1.23,0,0.0170224,0,179.956
1.04,3.08233,4.84959,1.29039,1.23,0,0.0455279,0,179.825
1.06,3.10693,4.84961,1.31499,1.23,0,0.0837731,0,179.607
1.08,3.13153,4.84966,1.33959,1.23,0,0.140215,0,179.3
1.1,3.15613,4.84974,1.36419,1.23,0,0.207515,0,178.907
1.12,3.18073,4.84984,1.38879,1.23,0,0.285563,0,178.426
1.14,3.20533,4.84999,1.41339,1.23,0,0.37645,0,177.858
1.16,3.22993,4.85016,1.43799,1.23,0,0.476008,0,177.202
1.18,3.25453,4.85039,1.46259,1.23,0,0.586661,0,176.459
1.2,3.27912,4.85068,1.48719,1.23,0,0.707231,0,175.628
1.22,3.30372,4.851,1.51179,1.23,0,0.834874,0,174.71
1.24,3.32832,4.85139,1.53639,1.23,0,0.971783,0,173.704
1.26,3.35291,4.85184,1.56099,1.23,0,1.11673,0,172.611
1.28,3.37751,4.85235,1.58559,1.23,0,1.26754,0,171.431
1.3,3.4021,4.85293,1.61019,1.23,0,1.42544,0,170.163
1.32,3.42669,4.85358,1.63479,1.23,0,1.58895,0,168.808
1.34,3.45128,4.85429,1.65939,1.23,0,1.75677,0,167.365
1.36,3.47587,4.85508,1.68399,1.23,0,1.92941,0,165.835
1.38,3.50046,4.85595,1.70859,1.23,0,2.10509,0,164.217
1.4,3.52504,4.85688,1.73319,1.23,0,2.28277,0,162.512
1.42,3.54962,4.8579,1.75779,1.23,0,2.46205,0,160.72
1.44,3.57419,4.859,1.78239,1.23,0,2.64121,0,158.84
1.46,3.59876,4.86017,1.80699,1.23,0,2.8194,0,156.873
1.48,3.62333,4.86141,1.83159,1.23,0,2.99524,0,154.818
1.5,3.6479,4.86274,1.85619,1.23,0,3.16603,0,152.676
