"time","x","y","position","velocity","acceleration","heading","curvature","rotation"
0,14.6634,5.17533,0,0,3,180,0,-1.40334e-14
0.02,14.6595,5.17533,0.00390384,0.06,3,-179.995,0,-1.40334e-14
0.04,14.6556,5.17532,0.00780769,0.12,3,-179.989,0,-1.40334e-14
0.06,14.6517,5.17532,0.0117115,0.18,3,-179.984,0,-1.40334e-14
0.08,14.6478,5.17532,0.0156154,0.24,3,-179.979,0,-1.40334e-14
0.1,14.6439,5.17532,0.0195192,0.3,3,-179.973,0,-1.40334e-14
0.12,14.64,5.17532,0.0234231,0.36,3,-179.968,0,-1.40334e-14
0.14,14.6334,5.17531,0.030052,0.42,3,-179.952,0,-1.40334e-14
0.16,14.624,5.1753,0.0394767,0.48,3,-179.924,0,-1.40334e-14
0.18,14.6145,5.17529,0.0489014,0.54,3,-179.896,0,-1.40334e-14
0.2,14.6028,5.17526,0.0606082,0.6,3,-179.847,0,-1.40334e-14
0.22,14.5905,5.17523,0.0728907,0.66,3,-179.792,0,-1.40334e-14
0.24,14.5766,5.17517,0.086844,0.72,3,-179.709,0,-1.40334e-14
0.26,14.562,5.17509,0.101413,0.78,3,-179.616,0,-1.40334e-14
0.28,14.5455,5.17494,0.117925,0.84,3,-179.48,0,-1.40334e-14
0.3,14.5282,5.17476,0.135254,0.9,3,-179.326,0,-1.40334e-14
0.32,14.5098,5.17453,0.153646,0.96,3,-179.147,0,-1.40334e-14
0.34,14.4899,5.17421,0.173537,1.02,3,-178.928,0,-1.40334e-14
0.36,14.4689,5.17375,0.19459,1.08,3,-178.663,0,-1.40334e-14
0.38,14.4467,5.17316,0.216786,1.14,3,-178.355,0,-1.40334e-14
0.4,14.4233,5.17242,0.240166,1.2,3,-178.002,0,-1.40334e-14
0.42,14.3987,5.17149,0.264748,1.26,3,-177.601,0,-1.40334e-14
0.44,14.373,5.17032,0.290536,1.32,3,-177.139,0,-1.40334e-14
0.46,14.346,5.16883,0.317527,1.38,3,-176.611,0,-1.40334e-14
0.48,14.3179,5.16701,0.345712,1.44,3,-176.018,0,-1.40334e-14
0.5,14.2886,5.16483,0.375078,1.5,3,-175.358,0,-1.40334e-14
0.52,14.2582,5.16221,0.405612,1.56,3,-174.624,0,-1.40334e-14
0.54,14.2265,5.15895,0.437463,1.62,3,-173.797,0,-1.40334e-14
0.56,14.1937,5.15511,0.470486,1.68,3,-172.893,0,-1.40334e-14
0.58,14.1599,5.15062,0.504637,1.74,3,-171.914,0,-1.40334e-14
0.6,14.1248,5.14533,0.540057,1.8,3,-170.853,0,-1.40334e-14
0.62,14.0888,5.13917,0.576659,1.86,3,-169.722,0,-1.40334e-14
0.64,14.0517,5.13203,0.61444,1.92,3,-168.536,0,-1.40334e-14
0.66,14.0135,5.12385,0.653449,1.98,3,-167.315,0,-1.40334e-14
0.68,13.9744,5.1146,0.693649,2.04,3,-166.093,0,-1.40334e-14
0.7,13.9343,5.10426,0.735013,2.1,3,-164.906,0,-1.40334e-14
0.72,13.8933,5.09273,0.777649,2.16,3,-163.813,0,-1.40334e-14
0.74,13.8513,5.08017,0.821444,2.22,3,-162.867,0,-1.40334e-14
0.76,13.8085,5.06661,0.866418,2.28,3,-162.148,0,-1.40334e-14
0.78,13.7646,5.05226,0.912612,2.34,3,-161.689,0,-1.40334e-14
0.8,13.7196,5.03728,0.960027,2.4,3,-161.564,0,-1.40334e-14
0.82,13.6734,5.02198,1.00863,2.46,0.797591,-161.796,0,-1.40334e-14
0.84,13.6266,5.0068,1.05785,2.44783,-3,-162.377,0,-1.40334e-14
0.86,13.5804,4.99249,1.1062,2.38783,-3,-163.266,0,-1.40334e-14
0.88,13.5351,4.97934,1.15336,2.32783,-3,-164.386,0,-1.40334e-14
0.9,13.4908,4.96743,1.19932,2.26783,-3,-165.65,0,-1.40334e-14
0.92,13.4472,4.9568,1.24411,2.20783,-3,-166.99,0,-1.40334e-14
0.94,13.4047,4.94753,1.28763,2.14783,-3,-168.349,0,-1.40334e-14
0.96,13.3632,4.93945,1.32997,2.08783,-3,-169.679,0,-1.40334e-14
0.98,13.3225,4.93252,1.37118,2.02783,-3,-170.952,0,-1.40334e-14
1,13.2831,4.92671,1.41108,1.96783,-3,-172.137,0,-1.40334e-14
1.02,13.2446,4.92174,1.44987,1.90783,-3,-173.239,0,-1.40334e-14
1.04,13.2073,4.91765,1.48738,1.84783,-3,-174.239,0,-1.40334e-14
1.06,13.171,4.91428,1.52381,1.78783,-3,-175.144,0,-1.40334e-14
1.08,13.1361,4.91159,1.55889,1.72783,-3,-175.943,0,-1.40334e-14
1.1,13.1022,4.90938,1.59285,1.66783,-3,-176.662,0,-1.40334e-14
1.12,13.0694,4.90763,1.62568,1.60783,-3,-177.294,0,-1.40334e-14
1.14,13.0379,4.90634,1.65716,1.54783,-3,-177.832,0,-1.40334e-14
1.16,13.0076,4.90531,1.68748,1.48783,-3,-178.302,0,-1.40334e-14
1.18,12.9785,4.90454,1.71663,1.42783,-3,-178.705,0,-1.40334e-14
1.2,12.9505,4.90401,1.74459,1.36783,-3,-179.037,0,-1.40334e-14
1.22,12.9238,4.90362,1.77135,1.30783,-3,-179.313,0,-1.40334e-14
1.24,12.8982,4.90336,1.7969,1.24783,-3,-179.54,0,-1.40334e-14
1.26,12.8739,4.9032,1.82123,1.18783,-3,-179.71,0,-1.40334e-14
1.28,12.8508,4.90312,1.84435,1.12783,-3,-179.832,0,-1.40334e-14
1.3,12.8289,4.90307,1.86627,1.06783,-3,-179.918,0,-1.40334e-14
1.32,12.8081,4.90305,1.88704,1.00783,-3,-179.971,0,-1.40334e-14
1.34,12.7884,4.90304,1.90673,0.947827,-2.79375,-179.997,0,-1.40334e-14
1.36,12.7702,4.90304,1.92496,0.887827,-0.639924,179.991,0,0.052611
1.38,12.7525,4.90305,1.94261,0.87,0,179.97,0,0.210444
1.4,12.7351,4.90306,1.96001,0.87,0,179.942,0,0.473499
1.42,12.7177,4.90309,1.97741,0.87,0,179.902,0,0.841777
1.44,12.7003,4.90313,1.99481,0.87,0,179.85,0,1.31528
1.46,12.6829,4.90318,2.01221,0.87,0,179.79,0,1.894
1.48,12.6655,4.90325,2.02961,0.87,0,179.721,0,2.57794
1.5,12.6481,4.90335,2.04701,0.87,0,179.639,0,3.36711
1.52,12.6307,4.90347,2.06441,0.87,0,179.55,0,4.26149
1.54,12.6133,4.90362,2.08181,0.87,0,179.452,0,5.2611
1.56,12.5959,4.90381,2.09921,0.87,0,179.342,0,6.36594
1.58,12.5785,4.90403,2.11661,0.87,0,179.225,0,7.57599
1.6,12.5611,4.90427,2.13401,0.87,0,179.1,0,8.89127
1.62,12.5437,4.90457,2.15141,0.87,0,178.963,0,10.3118
1.64,12.5263,4.90492,2.16881,0.87,0,178.817,0,11.8375
1.66,12.5089,4.9053,2.18621,0.87,0,178.664,0,13.4684
1.68,12.4916,4.90575,2.20361,0.87,0,178.499,0,15.2046
1.7,12.4742,4.90623,2.22101,0.87,0,178.329,0,17.046
1.72,12.4568,4.90675,2.23841,0.87,0,178.154,0,18.9926
1.74,12.4394,4.90735,2.25581,0.87,0,177.966,0,21.0444
1.76,12.422,4.908,2.27321,0.87,0,177.772,0,23.2015
1.78,12.4046,4.90869,2.29061,0.87,0,177.573,0,25.4637
1.8,12.3872,4.90946,2.30801,0.87,0,177.366,0,27.8312
1.82,12.3698,4.9103,2.32541,0.87,0,177.153,0,30.304
1.84,12.3525,4.91119,2.34281,0.87,0,176.936,0,32.8819
1.86,12.3351,4.91213,2.36021,0.87,0,176.715,0,35.5651
1.88,12.3177,4.91319,2.37761,0.87,0,176.49,0,38.3534
1.9,12.3004,4.91429,2.39501,0.87,0,176.263,0,41.2471
1.92,12.283,4.91541,2.41241,0.87,0,176.037,0,44.2459
