"time","x","y","position","velocity","acceleration","heading","curvature","rotation"
0,9.67131,3.40696,0,0,4,0,0,180
0.02,9.67582,3.40696,0.00450777,0.08,4,-0.00409307,0,-179.959
0.04,9.68033,3.40696,0.00901554,0.16,4,-0.00818614,0,-179.834
0.06,9.68483,3.40696,0.0135233,0.24,4,-0.0122792,0,-179.627
0.08,9.68934,3.40696,0.0180311,0.32,4,-0.0163723,0,-179.336
0.1,9.69385,3.40696,0.0225389,0.4,4,-0.0204654,0,-178.963
0.12,9.70069,3.40695,0.0293753,0.48,4,-0.0329584,0,-178.506
0.14,9.71157,3.40694,0.040258,0.56,4,-0.060047,0,-177.967
0.16,9.72255,3.40693,0.0512441,0.64,4,-0.0880716,0,-177.344
0.18,9.73674,3.4069,0.0654267,0.72,4,-0.145054,0,-176.639
0.2,9.75155,3.40685,0.0802441,0.8,4,-0.21059,0,-175.85
0.22,9.76838,3.40678,0.0970674,0.88,4,-0.303153,0,-174.979
0.24,9.78686,3.40666,0.11555,0.96,4,-0.425039,0,-174.025
0.26,9.80677,3.40648,0.135457,1.04,4,-0.575356,0,-172.987
0.28,9.82825,3.40624,0.156944,1.12,4,-0.761435,0,-171.867
0.3,9.85137,3.40589,0.180069,1.2,4,-0.990187,0,-170.663
0.32,9.87614,3.40541,0.204845,1.28,4,-1.26814,0,-169.377
0.34,9.90255,3.40475,0.231263,1.36,4,-1.60149,0,-168.008
0.36,9.93058,3.40387,0.2593,1.44,4,-1.99619,0,-166.555
0.38,9.96018,3.40272,0.28893,1.52,4,-2.45796,0,-165.02
0.4,9.99134,3.40124,0.320122,1.6,4,-2.99339,0,-163.402
0.42,10.024,3.39937,0.352845,1.68,4,-3.6081,0,-161.7
0.44,10.0584,3.39697,0.387276,1.76,4,-4.31815,0,-159.916
0.46,10.0942,3.39401,0.423286,1.84,4,-5.12437,0,-158.049
0.48,10.1316,3.39037,0.460842,1.92,4,-6.03275,0,-156.098
0.5,10.1706,3.38589,0.50007,2,4,-7.05991,0,-154.065
0.52,10.211,3.38044,0.540861,2.08,4,-8.20939,0,-151.949
0.54,10.2529,3.37396,0.583211,2.16,4,-9.48157,0,-149.749
0.56,10.2962,3.36613,0.627255,2.24,4,-10.8962,0,-147.467
0.58,10.3408,3.35691,0.6728,2.30901,0.999478,-12.4424,0,-145.102
0.6,10.3859,3.34627,0.71914,2.32,0,-14.0953,0,-142.654
0.62,10.4307,3.33429,0.76554,2.32,0,-15.82,0,-140.122
0.64,10.4752,3.32097,0.81194,2.32,0,-17.5983,0,-137.508
0.66,10.5192,3.30625,0.85834,2.32,0,-19.4141,0,-134.811
0.68,10.5627,3.29014,0.90474,2.32,0,-21.2466,0,-132.031
0.7,10.6056,3.27264,0.95114,2.32,0,-23.0735,0,-129.167
0.72,10.648,3.25377,0.99754,2.32,0,-24.8697,0,-126.221
0.74,10.6898,3.23363,1.04394,2.32,0,-26.6133,0,-123.192
0.76,10.731,3.21227,1.09034,2.32,0,-28.2819,0,-120.08
0.78,10.7716,3.18974,1.13674,2.32,0,-29.8487,0,-116.885
0.8,10.8115,3.1661,1.18314,2.32,0,-31.2859,0,-113.606
0.82,10.8509,3.14153,1.22954,2.32,0,-32.5854,0,-110.245
0.84,10.8897,3.11617,1.27594,2.32,0,-33.7375,0,-106.801
0.86,10.9281,3.0901,1.32234,2.32,0,-34.7247,0,-103.274
0.88,10.966,3.06337,1.36874,2.32,0,-35.5108,0,-99.6637
0.9,11.0036,3.03619,1.41514,2.32,0,-36.1133,0,-95.9705
0.92,11.041,3.0087,1.46154,2.32,0,-36.533,0,-92.1944
0.94,11.0782,2.981,1.50794,2.32,0,-36.7507,0,-88.3505
0.96,11.1154,2.95322,1.55434,2.32,0,-36.7678,0,-84.5626
0.98,11.1526,2.9255,1.60074,2.32,0,-36.5861,0,-80.8576
1,11.1899,2.89795,1.64714,2.32,0,-36.2081,0,-77.2356
1.02,11.2275,2.87072,1.69354,2.32,0,-35.636,0,-73.6966
1.04,11.2654,2.84392,1.73994,2.32,0,-34.8743,0,-70.2406
1.06,11.3037,2.81772,1.78634,2.32,0,-33.9247,0,-66.8676
1.08,11.3424,2.79217,1.83274,2.32,0,-32.813,0,-63.5776
1.1,11.3816,2.76739,1.87914,2.32,0,-31.5484,0,-60.3706
1.12,11.4215,2.74364,1.92554,2.32,0,-30.1234,0,-57.2465
1.14,11.462,2.72095,1.97194,2.32,0,-28.5741,0,-54.2055
1.16,11.503,2.69934,2.01834,2.32,0,-26.9262,0,-51.2474
1.18,11.5447,2.67889,2.06474,2.32,0,-25.1991,0,-48.3724
1.2,11.587,2.65978,2.11114,2.32,0,-23.4095,0,-45.5803
1.22,11.6298,2.64206,2.15754,2.32,0,-21.585,0,-42.8713
1.24,11.6733,2.62573,2.20394,2.32,0,-19.7516,0,-40.2452
1.26,11.7172,2.61075,2.25034,2.32,0,-17.9313,0,-37.7021
1.28,11.7615,2.59712,2.29674,2.32,0,-16.1428,0,-35.242
1.3,11.8063,2.58487,2.34314,2.32,-0.494091,-14.4057,0,-32.8649
1.32,11.8512,2.57401,2.38939,2.29522,-4,-12.741,0,-30.5708
1.34,11.8953,2.56471,2.43447,2.21522,-4,-11.1976,0,-28.3597
1.36,11.9381,2.55684,2.47794,2.13522,-4,-9.7909,0,-26.2316
1.38,11.9795,2.55017,2.51986,2.05522,-4,-8.51007,0,-24.1864
1.4,12.0194,2.54454,2.56017,1.97522,-4,-7.34977,0,-22.2243
1.42,12.0578,2.53995,2.59884,1.89522,-4,-6.3187,0,-20.3451
1.44,12.0947,2.53616,2.63596,1.81522,-4,-5.39752,0,-18.549
1.46,12.1301,2.53307,2.67147,1.73522,-4,-4.58168,0,-16.8358
1.48,12.1638,2.53058,2.70532,1.65522,-4,-3.86555,0,-15.2056
1.5,12.1961,2.52857,2.73766,1.57522,-4,-3.23323,0,-13.6585
1.52,12.2269,2.52696,2.76844,1.49522,-4,-2.67959,0,-12.1943
1.54,12.2559,2.52573,2.79747,1.41522,-4,-2.20728,0,-10.8131
1.56,12.2833,2.52478,2.82493,1.33522,-4,-1.80178,0,-9.51486
1.58,12.3092,2.52405,2.8508,1.25522,-4,-1.45581,0,-8.29965
1.6,12.3335,2.5235,2.87511,1.17522,-4,-1.16266,0,-7.16743
1.62,12.3562,2.52309,2.89787,1.09522,-4,-0.915892,0,-6.1182
1.64,12.3773,2.52279,2.91899,1.01522,-4,-0.712912,0,-5.15197
1.66,12.3966,2.52259,2.93827,0.935216,-4,-0.55186,0,-4.26872
1.68,12.4144,2.52244,2.95605,0.855216,-4,-0.419639,0,-3.46847
1.7,12.431,2.52232,2.97269,0.775216,-4,-0.308002,0,-2.75121
1.72,12.4452,2.52226,2.98687,0.695216,-4,-0.232227,0,-2.11694
1.74,12.4585,2.52221,3.00014,0.615216,-4,-0.165877,0,-1.56567
1.76,12.4694,2.52219,3.01102,0.535216,-4,-0.123947,0,-1.09738
1.78,12.4802,2.52217,3.0219,0.455216,-4,-0.0820173,0,-0.71209
1.8,12.4851,2.52216,3.02676,0.375216,-4,-0.0698228,0,-0.40979
1.82,12.4896,2.52216,3.03127,0.295216,-4,-0.0593754,0,-0.190482
1.84,12.4941,2.52215,3.03578,0.215216,-4,-0.048928,0,-0.0541664
1.86,12.4986,2.52215,3.04029,0.135216,-4,-0.0384805,0,-0.000842804
1.88,12.5031,2.52214,3.04479,0.0552165,-4,-0.0280331,0,0
