"time","x","y","position","velocity","acceleration","heading","curvature","rotation"
0,14.6634,5.17533,0,0,3.75,180,0,2.84217e-14
0.02,14.659,5.17532,0.00436463,0.075,3.75,-179.971,0,2.84217e-14
0.04,14.6547,5.17531,0.00872926,0.15,3.75,-179.941,0,2.84217e-14
0.06,14.6503,5.17531,0.0130939,0.225,3.75,-179.912,0,2.84217e-14
0.08,14.6459,5.1753,0.0174585,0.3,3.75,-179.882,0,2.84217e-14
0.1,14.6416,5.17529,0.0218231,0.375,3.75,-179.853,0,2.84217e-14
0.12,14.6361,5.17528,0.0273019,0.45,3.75,-179.81,0,2.84217e-14
0.14,14.6256,5.17523,0.037839,0.525,3.75,-179.709,0,2.84217e-14
0.16,14.615,5.17519,0.0483761,0.6,3.75,-179.608,0,2.84217e-14
0.18,14.602,5.17505,0.0613735,0.675,3.75,-179.383,0,2.84217e-14
0.2,14.5883,5.17489,0.0751057,0.75,3.75,-179.121,0,2.84217e-14
0.22,14.5722,5.17456,0.091191,0.825,3.75,-178.735,0,2.84217e-14
0.24,14.5551,5.17413,0.108274,0.9,3.75,-178.28,0,2.84217e-14
0.26,14.5367,5.17356,0.126763,0.975,3.75,-177.722,0,2.84217e-14
0.28,14.5163,5.17252,0.147189,1.05,3.75,-176.948,0,2.84217e-14
0.3,14.4945,5.17126,0.168972,1.125,3.75,-176.068,0,2.84217e-14
0.32,14.4714,5.16942,0.192208,1.2,3.75,-174.982,0,2.84217e-14
0.34,14.4468,5.16694,0.216936,1.275,3.75,-173.69,0,2.84217e-14
0.36,14.4207,5.1638,0.243164,1.35,3.75,-172.204,0,2.84217e-14
0.38,14.3933,5.15959,0.270885,1.425,3.75,-170.467,0,2.84217e-14
0.4,14.3646,5.15432,0.300083,1.5,3.75,-168.507,0,2.84217e-14
0.42,14.3346,5.14776,0.330761,1.575,3.75,-166.325,0,2.84217e-14
0.44,14.3034,5.13929,0.363091,1.65,3.75,-163.932,0,2.84217e-14
0.46,14.2712,5.12935,0.396846,1.725,3.75,-161.43,0,2.84217e-14
0.48,14.2381,5.11742,0.432003,1.8,3.75,-158.928,0,2.84217e-14
0.5,14.2041,5.1034,0.468835,1.875,3.75,-156.578,0,2.84217e-14
0.52,14.1693,5.08768,0.507012,1.95,3.75,-154.5,0,2.84217e-14
0.54,14.1336,5.06997,0.546824,2.025,3.75,-153.067,0,2.84217e-14
0.56,14.097,5.05103,0.588035,2.1,3.75,-152.258,0,2.84217e-14
0.58,14.0592,5.03113,0.630786,2.175,3.75,-152.416,0,2.84217e-14
0.6,14.0198,5.011,0.675058,2.25,3.75,-153.59,0,2.84217e-14
0.62,13.9785,4.99132,0.720803,2.325,3.75,-155.732,0,2.84217e-14
0.64,13.9349,4.97311,0.768038,2.4,3.75,-158.837,0,2.84217e-14
0.66,13.889,4.95685,0.816776,2.475,3.75,-162.57,0,2.84217e-14
0.68,13.8405,4.94364,0.867022,2.55,3.75,-166.647,0,2.84217e-14
0.7,13.7898,4.93351,0.918775,2.625,3.75,-170.68,0,2.84217e-14
0.72,13.737,4.92657,0.972033,2.7,3.75,-174.385,0,2.84217e-14
0.74,13.6824,4.92283,1.02679,2.775,3.75,-177.521,0,2.84217e-14
0.76,13.6261,4.92169,1.08303,2.85,3.75,-179.997,0,2.84217e-14
0.78,13.5684,4.92262,1.14076,2.925,3.75,178.286,0,2.84217e-14
0.8,13.5092,4.92492,1.20003,3,3.75,177.445,0,2.84217e-14
0.82,13.4485,4.92771,1.26078,3.075,3.75,177.384,0,2.84217e-14
0.84,13.3863,4.93042,1.32301,3.15,3.75,177.672,0,2.84217e-14
0.86,13.3226,4.93274,1.38678,3.225,3.75,178.19,0,2.84217e-14
0.88,13.2574,4.9344,1.45202,3.3,3.75,178.926,0,2.84217e-14
0.9,13.1907,4.93512,1.51877,3.375,3.75,179.864,0,2.84217e-14
0.92,13.1224,4.93464,1.58703,3.45,3.75,-179.057,0,2.84217e-14
0.94,13.0527,4.93285,1.65677,3.525,3.75,-177.978,0,2.84217e-14
0.96,12.9815,4.9298,1.728,3.6,3.75,-177.184,0,2.84217e-14
0.98,12.9089,4.92605,1.80076,3.675,3.75,-177.051,0,2.84217e-14
1,12.8347,4.92262,1.875,3.7463,0.544812,-177.786,0,2.84217e-14
1.02,12.7597,4.92062,1.94999,3.75,0,-179.206,0,2.84217e-14
1.04,12.6847,4.92064,2.02499,3.75,0,179.142,0,2.84217e-14
1.06,12.6098,4.9228,2.09999,3.75,0,177.604,0,2.84217e-14
1.08,12.5349,4.9268,2.17499,3.75,0,176.353,0,2.84217e-14
1.1,12.4601,4.93221,2.24999,3.75,0,175.435,0,2.84217e-14
1.12,12.3853,4.9386,2.32499,3.75,0,174.857,0,2.84217e-14
1.14,12.3107,4.94551,2.39999,3.75,0,174.616,0,2.84217e-14
1.16,12.236,4.95282,2.47499,3.75,0,174.03,0,2.84217e-14
1.18,12.1615,4.96156,2.54999,3.75,0,172.376,0,2.84217e-14
1.2,12.0874,4.97313,2.62499,3.75,0,169.675,0,2.84217e-14
1.22,12.0142,4.98889,2.69997,3.74436,-3.04469,165.957,0,2.84217e-14
1.24,11.9429,5.00963,2.77419,3.67415,-3.75,161.374,0,2.84217e-14
1.26,11.8751,5.03586,2.84693,3.59915,-3.75,156.158,0,2.84217e-14
1.28,11.8114,5.06771,2.91816,3.52415,-3.75,150.64,0,2.84217e-14
1.3,11.7524,5.10481,2.98788,3.44915,-3.75,145.236,0,2.84217e-14
1.32,11.6981,5.14604,3.05611,3.37415,-3.75,140.307,0,2.84217e-14
1.34,11.6484,5.19056,3.12286,3.29915,-3.75,136.143,0,2.84217e-14
1.36,11.6028,5.23714,3.18807,3.22415,-3.75,132.895,0,2.84217e-14
1.38,11.5603,5.28472,3.25183,3.14915,-3.75,130.529,0,2.84217e-14
1.4,11.5206,5.33258,3.31404,3.07415,-3.75,129.142,0,2.84217e-14
1.42,11.4825,5.37992,3.37479,2.99915,-3.75,128.568,0,2.84217e-14
1.44,11.4456,5.4262,3.43401,2.92415,-3.75,128.812,0,2.84217e-14
1.46,11.409,5.47086,3.49173,2.84915,-3.75,129.865,0,2.84217e-14
1.48,11.3724,5.51351,3.54797,2.77415,-3.75,131.627,0,2.84217e-14
1.5,11.3352,5.55374,3.60271,2.69915,-3.75,134.063,0,2.84217e-14
1.52,11.2972,5.59101,3.65596,2.62415,-3.75,137.152,0,2.84217e-14
1.54,11.2582,5.62498,3.7077,2.54915,-3.75,140.772,0,2.84217e-14
1.56,11.2183,5.65538,3.75792,2.47415,-3.75,144.773,0,2.84217e-14
1.58,11.1775,5.68202,3.80664,2.39915,-3.75,148.985,0,2.84217e-14
1.6,11.1362,5.70485,3.85385,2.32415,-3.75,153.224,0,2.84217e-14
1.62,11.0946,5.72386,3.89957,2.24915,-3.75,157.31,0,2.84217e-14
1.64,11.0533,5.73952,3.94381,2.17415,-3.75,161.116,0,2.84217e-14
1.66,11.0124,5.75221,3.98659,2.09915,-3.75,164.571,0,2.84217e-14
1.68,10.9725,5.76207,4.02776,2.02415,-3.75,167.598,0,2.84217e-14
1.7,10.9334,5.76967,4.06752,1.94915,-3.75,170.218,0,2.84217e-14
1.72,10.8957,5.77537,4.10572,1.87415,-3.75,172.437,0,2.84217e-14
1.74,10.8591,5.7797,4.14249,1.79915,-3.75,174.33,0,2.84217e-14
1.76,10.8241,5.78261,4.17766,1.72415,-3.75,175.843,0,2.84217e-14
1.78,10.7904,5.78468,4.21143,1.64915,-3.75,177.09,0,2.84217e-14
1.8,10.7582,5.78609,4.24369,1.57415,-3.75,178.094,0,2.84217e-14
1.82,10.7275,5.78686,4.27435,1.49915,-3.75,178.823,0,2.84217e-14
1.84,10.6983,5.7873,4.30355,1.42415,-3.75,179.355,0,2.84217e-14
1.86,10.6706,5.78754,4.33126,1.34915,-3.75,179.729,0,2.84217e-14
1.88,10.6444,5.78761,4.35748,1.27415,-3.75,179.918,0,2.84217e-14
1.9,10.6197,5.78763,4.38219,1.19915,-1.73466,179.967,0,2.84217e-14
1.92,10.5961,5.78764,4.40582,1.1625,0,179.951,0,-0.0639113
1.94,10.5728,5.78767,4.42907,1.1625,0,179.887,0,-0.255645
1.96,10.5496,5.78774,4.45232,1.1625,0,179.791,0,-0.575202
1.98,10.5263,5.78784,4.47557,1.1625,0,179.683,0,-1.02258
2,10.5031,5.788,4.49882,1.1625,0,179.562,0,-1.59778
2.02,10.4798,5.7882,4.52207,1.1625,0,179.446,0,-2.30081
2.04,10.4566,5.78844,4.54532,1.1625,0,179.335,0,-3.13165
2.06,10.4333,5.78874,4.56857,1.1625,0,179.249,0,-4.09032
2.08,10.4101,5.78905,4.59182,1.1625,0,179.175,0,-5.17682
2.1,10.3868,5.7894,4.61507,1.1625,0,179.149,0,-6.39113
2.12,10.3636,5.78974,4.63832,1.1625,0,179.152,0,-7.73327
2.14,10.3403,5.79008,4.66157,1.1625,0,179.2,0,-9.20323
2.16,10.3171,5.79038,4.68482,1.1625,0,179.301,0,-10.801
2.18,10.2938,5.79064,4.70807,1.1625,0,179.45,0,-12.5266
2.2,10.2706,5.79083,4.73132,1.1625,0,179.662,0,-14.38
2.22,10.2473,5.7909,4.75457,1.1625,0,179.952,0,-16.3613
2.24,10.2241,5.79089,4.77782,1.1625,0,-179.71,0,-18.4704
2.26,10.2008,5.79065,4.80107,1.1625,0,-179.243,0,-20.7073
2.28,10.1776,5.79025,4.82432,1.1625,0,-178.709,0,-23.072
2.3,10.1543,5.78961,4.84757,1.1625,0,-178.068,0,-25.5645
2.32,10.1311,5.78862,4.87082,1.1625,0,-177.285,0,-28.1849
2.34,10.1079,5.7874,4.89407,1.1625,0,-176.414,0,-30.9331
2.36,10.0847,5.78571,4.91732,1.1625,0,-175.361,0,-33.8091
2.38,10.0616,5.78354,4.94057,1.1625,0,-174.135,0,-36.8129
2.4,10.0385,5.78097,4.96382,1.1625,0,-172.765,0,-39.9446
2.42,10.0154,5.77777,4.98707,1.1625,0,-171.17,0,-43.204
2.44,9.99254,5.77373,5.01032,1.1625,0,-169.281,0,-46.5637
2.46,9.96976,5.76908,5.03357,1.1625,0,-167.179,0,-49.8321
2.48,9.94716,5.76367,5.05682,1.1625,0,-164.819,0,-52.9727
2.5,9.92491,5.75692,5.08007,1.1625,0,-162.005,0,-55.9854
2.52,9.90304,5.74904,5.10332,1.1625,0,-158.826,0,-58.8703
2.54,9.88162,5.74003,5.12657,1.1625,0,-155.297,0,-61.6275
2.56,9.86075,5.7298,5.14982,1.1625,0,-151.408,0,-64.2567
2.58,9.84081,5.71791,5.17307,1.1625,0,-147.099,0,-66.7582
2.6,9.82184,5.7045,5.19632,1.1625,0,-142.483,0,-69.1318
2.62,9.80403,5.6896,5.21957,1.1625,0,-137.668,0,-71.3777
2.64,9.78756,5.67324,5.24282,1.1625,0,-132.776,0,-73.4957
2.66,9.7725,5.65557,5.26607,1.1625,0,-127.944,0,-75.4858
2.68,9.75893,5.63673,5.28932,1.1625,0,-123.304,0,-77.3482
2.7,9.74699,5.6168,5.31257,1.1625,0,-118.993,0,-79.0827
2.72,9.73662,5.596,5.33582,1.1625,0,-115.091,0,-80.6894
2.74,9.7273,5.57471,5.35907,1.1625,0,-111.499,0,-82.1683
2.76,9.71931,5.55288,5.38232,1.1625,0,-108.332,0,-83.5193
2.78,9.71276,5.53057,5.40557,1.1625,0,-105.672,0,-84.7426
2.8,9.707,5.50805,5.42882,1.1625,0,-103.307,0,-85.838
2.82,9.70199,5.48536,5.45207,1.1625,0,-101.227,0,-86.8056
2.84,9.69788,5.46248,5.47532,1.1625,0,-99.5212,0,-87.6454
2.86,9.69437,5.4395,5.49857,1.1625,0,-98.0805,0,-88.3573
2.88,9.69132,5.41645,5.52182,1.1625,0,-96.8659,0,-88.9414
2.9,9.68876,5.39334,5.54507,1.1625,0,-95.9204,0,-89.3977
2.92,9.68651,5.3702,5.56832,1.1625,0,-95.1871,0,-89.7262
2.94,9.68448,5.34704,5.59157,1.1625,0.598618,-94.6295,0,-89.9269
2.96,9.68269,5.32379,5.61489,1.16864,3.75,-94.4043,0,-89.9997
2.98,9.68086,5.29978,5.63897,1.24364,3.75,-94.2565,0,-90
3,9.67895,5.27423,5.6646,1.31864,3.75,-94.3197,0,-90
3.02,9.67688,5.24715,5.69175,1.39364,3.75,-94.4355,0,-90
3.04,9.67462,5.21857,5.72042,1.46864,3.75,-94.6228,0,-90
3.06,9.67212,5.18853,5.75057,1.54364,3.75,-94.87,0,-90
3.08,9.66936,5.15705,5.78217,1.61864,3.75,-95.1632,0,-90
3.1,9.66631,5.12415,5.8152,1.69364,3.75,-95.4716,0,-90
3.12,9.66292,5.08963,5.8499,1.76864,3.75,-95.7301,0,-90
3.14,9.65928,5.05371,5.886,1.84364,3.75,-95.7838,0,-90
3.16,9.65555,5.01628,5.92361,1.91864,3.75,-95.5122,0,-90
3.18,9.652,4.97732,5.96273,1.99364,3.75,-94.7994,0,-90
3.2,9.64901,4.9368,6.00337,2.06864,2.63,-93.7374,0,-90
3.22,9.64665,4.89504,6.04519,2.10556,-3.75,-92.6007,0,-90
3.24,9.64519,4.85377,6.08649,2.03056,-3.75,-91.6555,0,-90
3.26,9.64427,4.81391,6.12637,1.95556,-3.75,-90.9346,0,-90
3.28,9.64384,4.77556,6.16471,1.88056,-3.75,-90.4627,0,-90
3.3,9.64364,4.73869,6.20159,1.80556,-3.75,-90.1581,0,-90
3.32,9.64359,4.70337,6.2369,1.73056,-3.75,-90.0326,0,-90
3.34,9.6436,4.66945,6.27083,1.65556,-0.367256,-89.8979,0,-89.9481
3.36,9.64377,4.63641,6.30387,1.65,0,-89.5195,0,-89.7925
3.38,9.64422,4.60341,6.33687,1.65,0,-88.8457,0,-89.5332
3.4,9.6451,4.57042,6.36987,1.65,0,-87.8586,0,-89.1701
3.42,9.64674,4.53747,6.40287,1.65,0,-86.4017,0,-88.7032
3.44,9.64944,4.50458,6.43587,1.65,0,-84.3504,0,-88.1327
3.46,9.65342,4.47183,6.46887,1.65,0,-81.5768,0,-87.4584
3.48,9.65911,4.43933,6.50187,1.65,0,-77.7822,0,-86.6803
3.5,9.66768,4.40749,6.53487,1.65,0,-72.1008,0,-85.7985
3.52,9.67984,4.37689,6.56787,1.65,0,-63.7927,0,-84.813
3.54,9.69695,4.34882,6.60087,1.65,0,-51.6205,0,-83.7237
3.56,9.72083,4.32641,6.63387,1.65,0,-34.8941,0,-82.5307
3.58,9.75036,4.31237,6.66687,1.65,0,-17.2617,0,-81.234
3.6,9.78266,4.30667,6.69987,1.65,0,-2.93353,0,-79.8335
3.62,9.81554,4.30789,6.73287,1.65,0,6.92153,0,-78.3292
3.64,9.84792,4.31408,6.76587,1.65,0,13.2801,0,-76.7213
3.66,9.87967,4.32301,6.79887,1.65,0,17.7857,0,-75.0096
3.68,9.9108,4.33393,6.83187,1.65,0,21.0406,0,-73.1941
3.7,9.94132,4.34648,6.86487,1.65,0,23.3358,0,-71.2749
3.72,9.97141,4.36002,6.89787,1.65,0,25.0821,0,-69.252
3.74,10.0011,4.37437,6.93087,1.65,0,26.3862,0,-67.1253
3.76,10.0305,4.38932,6.96387,1.65,0,27.3601,0,-64.8949
3.78,10.0597,4.40468,6.99687,1.65,0,28.1105,0,-62.5607
3.8,10.0888,4.42037,7.02987,1.65,0,28.6558,0,-60.1229
3.82,10.1177,4.43631,7.06287,1.65,0,29.0376,0,-57.5812
3.84,10.1465,4.45239,7.09587,1.65,0,29.2893,0,-54.9359
3.86,10.1752,4.46858,7.12887,1.65,0,29.4162,0,-52.1867
3.88,10.204,4.4848,7.16187,1.65,0,29.4588,0,-49.3339
3.9,10.2327,4.50101,7.19487,1.65,0,29.3859,0,-46.3773
3.92,10.2615,4.51717,7.22787,1.65,0,29.2404,0,-43.3479
3.94,10.2903,4.53324,7.26087,1.65,0,29.0135,0,-40.4008
3.96,10.3192,4.54916,7.29387,1.65,0,28.7095,0,-37.5574
3.98,10.3482,4.56493,7.32687,1.65,0,28.334,0,-34.8178
4,10.3773,4.58047,7.35987,1.65,0,27.8841,0,-32.1819
4.02,10.4066,4.5958,7.39287,1.65,0,27.3692,0,-29.6498
4.04,10.436,4.61079,7.42587,1.65,0,26.7709,0,-27.2214
4.06,10.4655,4.6255,7.45887,1.65,0,26.1085,0,-24.8967
4.08,10.4952,4.63983,7.49187,1.65,0,25.3703,0,-22.6758
4.1,10.5251,4.65379,7.52487,1.65,0,24.5608,0,-20.5586
4.12,10.5553,4.66722,7.55787,1.65,0,23.6588,0,-18.5452
4.14,10.5856,4.68029,7.59087,1.65,0,22.6968,0,-16.6355
4.16,10.6161,4.69267,7.62387,1.65,0,21.6311,0,-14.8295
4.18,10.6469,4.70456,7.65687,1.65,0,20.4937,0,-13.1273
4.2,10.678,4.71577,7.68987,1.65,0,19.2655,0,-11.5288
